Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
656-95-9349;A;Yangon;Member;Female;Health and beauty; 69 ; 7 ; 24 ; 507 ;03/11/2019;11:03:00;Credit card;482,51;4,761904762;24,1255;4,6
765-26-6951;A;Yangon;Normal;Male;Sports and travel; 73 ; 6 ; 22 ; 457 ;01/01/2019;10:39:00;Credit card;435,66;4,761904762;21,783;6,9
329-62-1586;A;Yangon;Normal;Male;Food and beverages; 55 ; 3 ; 8 ; 172 ;21/01/2019;18:00:00;Credit card;164,01;4,761904762;8,2005;8,6
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle; 40 ; 2 ; 4 ; 85 ;03/11/2019;15:30:00;Ewallet;80,6;4,761904762;4,03;4,4
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories; 86 ; 5 ; 22 ; 452 ;25/02/2019;11:24:00;Ewallet;430,2;4,761904762;21,51;4,8
371-85-5789;B;Mandalay;Normal;Male;Health and beauty; 88 ; 3 ; 13 ; 277 ;03/05/2019;10:40:00;Ewallet;263,94;4,761904762;13,197;5,1
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle; 33 ; 2 ; 3 ; 70 ;15/03/2019;12:20:00;Credit card;66,4;4,761904762;3,32;4,4
636-48-8204;A;Yangon;Normal;Male;Electronic accessories; 35 ; 5 ; 9 ; 181 ;17/02/2019;11:15:00;Ewallet;172,8;4,761904762;8,64;9,9
549-59-1358;A;Yangon;Member;Male;Sports and travel; 89 ; 3 ; 13 ; 279 ;03/02/2019;17:36:00;Ewallet;265,89;4,761904762;13,2945;6
227-03-5010;A;Yangon;Member;Female;Home and lifestyle; 53 ; 8 ; 21 ; 442 ;22/03/2019;19:20:00;Credit card;420,72;4,761904762;21,036;8,5
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories; 34 ; 1 ; 2 ; 35 ;02/08/2019;15:31:00;Cash;33,52;4,761904762;1,676;6,7
189-17-4241;A;Yangon;Normal;Female;Fashion accessories; 88 ; 2 ; 9 ; 184 ;03/10/2019;12:17:00;Credit card;175,34;4,761904762;8,767;7,7
145-94-9061;B;Mandalay;Normal;Female;Food and beverages; 88 ; 5 ; 22 ; 464 ;25/01/2019;19:48:00;Cash;441,8;4,761904762;22,09;9,6
848-62-7243;A;Yangon;Normal;Male;Health and beauty; 25 ; 9 ; 11 ; 235 ;15/03/2019;15:36:00;Cash;224,01;4,761904762;11,2005;7,4
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories; 94 ; 5 ; 24 ; 494 ;25/02/2019;19:39:00;Credit card;470,65;4,761904762;23,5325;4,8
149-71-6266;B;Mandalay;Member;Male;Sports and travel; 78 ; 9 ; 35 ; 738 ;28/01/2019;12:43:00;Cash;702,63;4,761904762;35,1315;4,5
640-49-2076;B;Mandalay;Normal;Male;Sports and travel; 84 ; 8 ; 34 ; 704 ;01/10/2019;14:49:00;Cash;670,24;4,761904762;33,512;5,1
595-11-5460;A;Yangon;Normal;Male;Health and beauty; 97 ; 2 ; 10 ; 203 ;15/03/2019;10:12:00;Credit card;193,16;4,761904762;9,658;5,1
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages; 99 ; 4 ; 20 ; 418 ;02/06/2019;10:42:00;Ewallet;397,68;4,761904762;19,884;7,5
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel; 68 ; 1 ; 3 ; 72 ;01/07/2019;12:28:00;Ewallet;68,12;4,761904762;3,406;6,8
129-29-8530;A;Yangon;Member;Male;Sports and travel; 63 ; 5 ; 16 ; 329 ;03/10/2019;19:15:00;Ewallet;313,1;4,761904762;15,655;7
272-65-1806;A;Yangon;Normal;Female;Electronic accessories; 61 ; 9 ; 27 ; 575 ;15/01/2019;17:17:00;Ewallet;547,92;4,761904762;27,396;4,7
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty; 55 ; 8 ; 22 ; 461 ;23/03/2019;13:24:00;Ewallet;439,36;4,761904762;21,968;7,6
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle; 30 ; 8 ; 12 ; 253 ;03/03/2019;13:01:00;Cash;240,96;4,761904762;12,048;7,7
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle; 87 ; 1 ; 4 ; 91 ;17/01/2019;18:45:00;Ewallet;86,72;4,761904762;4,336;7,9
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle; 56 ; 2 ; 6 ; 118 ;02/02/2019;10:11:00;Cash;112,22;4,761904762;5,611;6,3
354-25-5821;B;Mandalay;Member;Female;Sports and travel; 69 ; 6 ; 21 ; 435 ;02/08/2019;13:03:00;Cash;414,72;4,761904762;20,736;5,6
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages; 99 ; 8 ; 39 ; 829 ;03/04/2019;20:39:00;Cash;789,6;4,761904762;39,48;7,6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty; 15 ; 2 ; 2 ; 32 ;16/03/2019;19:47:00;Cash;30,74;4,761904762;1,537;7,2
132-32-9879;B;Mandalay;Member;Female;Electronic accessories; 94 ; 4 ; 19 ; 395 ;03/09/2019;18:00:00;Cash;375,84;4,761904762;18,792;9,5
370-41-7321;B;Mandalay;Member;Male;Health and beauty; 57 ; 9 ; 26 ; 536 ;27/02/2019;17:24:00;Credit card;510,21;4,761904762;25,5105;8,4
727-46-3608;B;Mandalay;Member;Female;Food and beverages; 20 ; 9 ; 9 ; 189 ;02/06/2019;15:47:00;Ewallet;180,09;4,761904762;9,0045;4,1
669-54-1719;B;Mandalay;Member;Male;Electronic accessories; 19 ; 6 ; 6 ; 119 ;02/10/2019;12:45:00;Credit card;113,58;4,761904762;5,679;8,1
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories; 83 ; 10 ; 41 ; 868 ;19/03/2019;17:08:00;Ewallet;826,3;4,761904762;41,315;7,9
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages; 91 ; 7 ; 32 ; 672 ;02/03/2019;10:19:00;Cash;639,8;4,761904762;31,99;9,5
162-48-8011;A;Yangon;Member;Female;Food and beverages; 45 ; 5 ; 11 ; 234 ;02/10/2019;15:10:00;Cash;222,95;4,761904762;11,1475;8,5
616-24-2851;B;Mandalay;Member;Female;Fashion accessories; 18 ; 4 ; 4 ; 75 ;22/03/2019;14:42:00;Ewallet;71,48;4,761904762;3,574;6,5
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories; 15 ; 1 ; 1 ; 16 ;25/01/2019;15:46:00;Credit card;15,43;4,761904762;0,7715;6,1
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle; 16 ; 2 ; 2 ; 34 ;03/07/2019;11:49:00;Ewallet;32,32;4,761904762;1,616;6,5
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories; 86 ; 8 ; 34 ; 722 ;28/02/2019;19:01:00;Cash;687,84;4,761904762;34,392;8,2
106-35-6779;A;Yangon;Member;Male;Home and lifestyle; 44 ; 2 ; 4 ; 93 ;27/03/2019;11:26:00;Cash;88,68;4,761904762;4,434;5,8
635-40-6220;A;Yangon;Normal;Male;Health and beauty; 90 ; 8 ; 36 ; 753 ;02/07/2019;11:28:00;Ewallet;716,8;4,761904762;35,84;6,6
817-48-8732;A;Yangon;Member;Female;Home and lifestyle; 72 ; 10 ; 36 ; 760 ;20/01/2019;15:55:00;Cash;723,5;4,761904762;36,175;5,4
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories; 31 ; 6 ; 9 ; 193 ;03/12/2019;20:36:00;Cash;183,66;4,761904762;9,183;9,3
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel; 25 ; 3 ; 4 ; 78 ;15/02/2019;17:47:00;Credit card;74,22;4,761904762;3,711;10
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle; 56 ; 6 ; 17 ; 351 ;24/02/2019;10:55:00;Ewallet;334,38;4,761904762;16,719;7
347-34-2234;B;Mandalay;Member;Female;Sports and travel; 55 ; 9 ; 25 ; 520 ;02/03/2019;13:40:00;Ewallet;495,63;4,761904762;24,7815;10
199-75-8169;A;Yangon;Member;Male;Sports and travel; 16 ; 10 ; 8 ; 166 ;03/06/2019;12:27:00;Credit card;158,1;4,761904762;7,905;8,6
853-23-2453;B;Mandalay;Member;Male;Health and beauty; 76 ; 4 ; 15 ; 318 ;14/02/2019;14:35:00;Cash;302,96;4,761904762;15,148;7,6
877-22-3308;A;Yangon;Member;Male;Health and beauty; 16 ; 10 ; 8 ; 167 ;13/03/2019;16:40:00;Cash;158,7;4,761904762;7,935;5,8
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty; 33 ; 2 ; 3 ; 70 ;02/10/2019;15:43:00;Ewallet;66,94;4,761904762;3,347;6,7
109-28-2512;B;Mandalay;Member;Female;Fashion accessories; 98 ; 6 ; 29 ; 615 ;01/07/2019;15:01:00;Ewallet;585,66;4,761904762;29,283;9,9
232-11-3025;A;Yangon;Normal;Male;Sports and travel; 79 ; 10 ; 39 ; 827 ;24/01/2019;10:04:00;Cash;787,7;4,761904762;39,385;6,4
382-03-4532;A;Yangon;Member;Female;Health and beauty; 18 ; 1 ; 1 ; 19 ;02/02/2019;18:50:00;Cash;18,33;4,761904762;0,9165;4,3
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages; 89 ; 10 ; 45 ; 940 ;01/06/2019;12:46:00;Credit card;894,8;4,761904762;44,74;9,6
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories; 62 ; 10 ; 31 ; 652 ;02/11/2019;16:19:00;Cash;621,2;4,761904762;31,06;5,9
510-95-6347;B;Mandalay;Member;Female;Food and beverages; 49 ; 3 ; 7 ; 153 ;03/05/2019;18:17:00;Ewallet;145,56;4,761904762;7,278;4
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories; 76 ; 6 ; 23 ; 478 ;03/09/2019;18:21:00;Cash;455,46;4,761904762;22,773;8,7
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle; 75 ; 9 ; 34 ; 706 ;22/01/2019;10:55:00;Ewallet;672,03;4,761904762;33,6015;9,4
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories; 42 ; 10 ; 21 ; 437 ;13/01/2019;17:04:00;Credit card;416,5;4,761904762;20,825;5,4
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories; 49 ; 9 ; 22 ; 463 ;01/09/2019;14:20:00;Credit card;441,36;4,761904762;22,068;8,6
381-20-0914;A;Yangon;Member;Female;Fashion accessories; 20 ; 9 ; 9 ; 189 ;01/12/2019;15:48:00;Credit card;180,09;4,761904762;9,0045;5,7
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages; 78 ; 10 ; 39 ; 822 ;03/05/2019;16:24:00;Ewallet;783,1;4,761904762;39,155;6,6
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty; 20 ; 5 ; 5 ; 107 ;22/01/2019;18:56:00;Cash;101,9;4,761904762;5,095;6
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty; 99 ; 6 ; 30 ; 625 ;21/01/2019;14:42:00;Credit card;595,14;4,761904762;29,757;5,5
847-38-7188;B;Mandalay;Normal;Female;Food and beverages; 97 ; 3 ; 15 ; 305 ;26/01/2019;19:56:00;Ewallet;290,04;4,761904762;14,502;6,4
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages; 19 ; 8 ; 8 ; 162 ;23/01/2019;18:37:00;Ewallet;154;4,761904762;7,7;6,6
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages; 80 ; 4 ; 16 ; 338 ;23/02/2019;18:45:00;Credit card;321,44;4,761904762;16,072;8,3
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel; 49 ; 5 ; 12 ; 257 ;03/09/2019;10:17:00;Cash;244,55;4,761904762;12,2275;6,6
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel; 83 ; 7 ; 29 ; 610 ;03/05/2019;14:31:00;Ewallet;581,42;4,761904762;29,071;4
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories; 77 ; 5 ; 19 ; 402 ;25/03/2019;10:23:00;Cash;382,6;4,761904762;19,13;9,9
633-44-8566;A;Yangon;Member;Male;Food and beverages; 49 ; 7 ; 17 ; 363 ;27/03/2019;20:35:00;Credit card;345,66;4,761904762;17,283;7,3
504-35-8843;A;Yangon;Normal;Male;Sports and travel; 42 ; 1 ; 2 ; 45 ;01/02/2019;16:57:00;Cash;42,47;4,761904762;2,1235;5,7
318-68-5053;B;Mandalay;Normal;Female;Health and beauty; 77 ; 6 ; 23 ; 485 ;27/02/2019;17:55:00;Cash;461,94;4,761904762;23,097;6,1
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle; 47 ; 4 ; 9 ; 199 ;23/01/2019;10:25:00;Cash;189,52;4,761904762;9,476;7,1
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel; 45 ; 10 ; 22 ; 471 ;26/01/2019;19:54:00;Ewallet;448,6;4,761904762;22,43;8,2
873-51-0671;A;Yangon;Member;Female;Sports and travel; 22 ; 7 ; 8 ; 162 ;01/10/2019;16:42:00;Ewallet;153,86;4,761904762;7,693;5,1
152-08-9985;B;Mandalay;Member;Male;Health and beauty; 64 ; 9 ; 29 ; 608 ;03/12/2019;12:09:00;Credit card;579,24;4,761904762;28,962;8,6
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty; 90 ; 1 ; 4 ; 94 ;02/06/2019;20:05:00;Credit card;89,75;4,761904762;4,4875;6,6
594-34-4444;A;Yangon;Normal;Male;Electronic accessories; 97 ; 1 ; 5 ; 102 ;03/08/2019;20:38:00;Ewallet;97,16;4,761904762;4,858;7,2
766-85-7061;B;Mandalay;Normal;Male;Health and beauty; 88 ; 10 ; 44 ; 923 ;29/03/2019;10:25:00;Ewallet;878,7;4,761904762;43,935;5,1
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories; 12 ; 6 ; 4 ; 78 ;02/09/2019;13:11:00;Cash;74,7;4,761904762;3,735;4,1
865-92-6136;A;Yangon;Normal;Male;Food and beverages; 53 ; 3 ; 8 ; 166 ;23/03/2019;10:16:00;Ewallet;158,25;4,761904762;7,9125;9,3
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle; 83 ; 6 ; 25 ; 521 ;03/05/2019;18:14:00;Cash;496,2;4,761904762;24,81;7,4
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories; 49 ; 1 ; 2 ; 51 ;26/03/2019;19:20:00;Cash;48,71;4,761904762;2,4355;4,1
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories; 79 ; 9 ; 35 ; 742 ;03/01/2019;13:22:00;Cash;706,95;4,761904762;35,3475;7,2
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories; 23 ; 9 ; 10 ; 218 ;02/01/2019;11:27:00;Cash;207,63;4,761904762;10,3815;4,9
212-62-1842;A;Yangon;Normal;Male;Food and beverages; 58 ; 6 ; 17 ; 367 ;28/03/2019;16:44:00;Cash;349,56;4,761904762;17,478;9,9
716-39-1409;B;Mandalay;Normal;Male;Health and beauty; 30 ; 7 ; 11 ; 223 ;19/03/2019;18:19:00;Cash;212,45;4,761904762;10,6225;8
704-48-3927;A;Yangon;Member;Male;Electronic accessories; 89 ; 10 ; 44 ; 931 ;01/12/2019;14:50:00;Ewallet;886,7;4,761904762;44,335;7,3
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories; 27 ; 6 ; 8 ; 172 ;01/05/2019;20:54:00;Credit card;164,28;4,761904762;8,214;7,9
630-74-5166;A;Yangon;Normal;Male;Sports and travel; 62 ; 6 ; 19 ; 391 ;22/03/2019;20:19:00;Cash;372,78;4,761904762;18,639;7,4
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages; 34 ; 9 ; 15 ; 321 ;24/03/2019;10:43:00;Cash;305,82;4,761904762;15,291;4,2
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories; 82 ; 10 ; 41 ; 861 ;03/03/2019;14:30:00;Cash;819,7;4,761904762;40,985;9,2
479-26-8945;B;Mandalay;Member;Female;Sports and travel; 16 ; 2 ; 2 ; 35 ;02/05/2019;11:32:00;Ewallet;32,98;4,761904762;1,649;4,6
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty; 98 ; 3 ; 15 ; 309 ;02/05/2019;10:41:00;Credit card;294,63;4,761904762;14,7315;7,8
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories; 73 ; 7 ; 25 ; 535 ;15/02/2019;12:44:00;Cash;509,88;4,761904762;25,494;8,4
645-44-1170;A;Yangon;Member;Male;Home and lifestyle; 58 ; 9 ; 26 ; 549 ;19/01/2019;20:07:00;Ewallet;522,63;4,761904762;26,1315;4,3
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle; 81 ; 9 ; 36 ; 763 ;02/01/2019;20:31:00;Credit card;727,11;4,761904762;36,3555;9,5
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories; 27 ; 3 ; 4 ; 85 ;03/02/2019;13:01:00;Credit card;81,06;4,761904762;4,053;7,1
291-32-1427;B;Mandalay;Member;Male;Fashion accessories; 22 ; 5 ; 5 ; 115 ;03/05/2019;12:29:00;Ewallet;109,7;4,761904762;5,485;5,3
659-65-8956;B;Mandalay;Member;Male;Fashion accessories; 51 ; 1 ; 3 ; 54 ;16/01/2019;15:26:00;Ewallet;51,36;4,761904762;2,568;5,2
642-32-2990;A;Yangon;Normal;Female;Food and beverages; 11 ; 10 ; 5 ; 115 ;02/02/2019;20:48:00;Ewallet;109,6;4,761904762;5,48;6
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle; 53 ; 2 ; 5 ; 112 ;20/01/2019;20:38:00;Ewallet;106,88;4,761904762;5,344;4,1
638-60-7125;A;Yangon;Normal;Female;Electronic accessories; 100 ; 8 ; 40 ; 836 ;14/02/2019;17:03:00;Credit card;796,48;4,761904762;39,824;5,2
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel; 57 ; 7 ; 20 ; 420 ;01/12/2019;12:02:00;Credit card;399,84;4,761904762;19,992;6,5
219-22-9386;B;Mandalay;Member;Male;Sports and travel; 100 ; 9 ; 45 ; 945 ;03/09/2019;17:26:00;Credit card;899,64;4,761904762;44,982;4,2
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle; 64 ; 8 ; 26 ; 537 ;13/03/2019;19:52:00;Credit card;511,28;4,761904762;25,564;4,6
268-27-6179;B;Mandalay;Member;Female;Fashion accessories; 56 ; 8 ; 23 ; 474 ;03/09/2019;14:57:00;Ewallet;451,76;4,761904762;22,588;7,3
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle; 94 ; 7 ; 33 ; 689 ;03/10/2019;18:44:00;Credit card;655,83;4,761904762;32,7915;4,5
870-54-3162;A;Yangon;Normal;Female;Sports and travel; 32 ; 5 ; 8 ; 169 ;27/01/2019;13:26:00;Cash;161,25;4,761904762;8,0625;9
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories; 32 ; 9 ; 14 ; 300 ;01/08/2019;16:17:00;Credit card;285,57;4,761904762;14,2785;5,9
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages; 69 ; 8 ; 27 ; 576 ;01/08/2019;15:57:00;Ewallet;548,32;4,761904762;27,416;8,5
549-84-7482;B;Mandalay;Normal;Female;Sports and travel; 90 ; 9 ; 41 ; 853 ;02/08/2019;11:15:00;Ewallet;812,52;4,761904762;40,626;7,2
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories; 40 ; 7 ; 14 ; 291 ;25/01/2019;13:18:00;Cash;277,34;4,761904762;13,867;7,5
802-70-5316;A;Yangon;Member;Female;Sports and travel; 92 ; 6 ; 28 ; 580 ;03/06/2019;20:34:00;Cash;552,78;4,761904762;27,639;8,3
695-51-0018;B;Mandalay;Normal;Female;Sports and travel; 35 ; 4 ; 7 ; 146 ;02/10/2019;18:36:00;Cash;139,36;4,761904762;6,968;7,4
590-83-4591;B;Mandalay;Member;Male;Electronic accessories; 87 ; 6 ; 26 ; 551 ;17/02/2019;14:40:00;Credit card;524,7;4,761904762;26,235;8,8
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty; 81 ; 6 ; 24 ; 512 ;03/08/2019;16:43:00;Ewallet;487,8;4,761904762;24,39;5,3
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories; 90 ; 3 ; 14 ; 284 ;18/02/2019;19:39:00;Cash;270,66;4,761904762;13,533;6,2
700-81-1757;A;Yangon;Normal;Female;Electronic accessories; 26 ; 5 ; 7 ; 138 ;18/01/2019;20:59:00;Credit card;131,55;4,761904762;6,5775;8,8
354-39-5160;A;Yangon;Member;Female;Home and lifestyle; 34 ; 6 ; 10 ; 217 ;18/02/2019;15:39:00;Cash;206,52;4,761904762;10,326;9,8
241-72-9525;B;Mandalay;Normal;Male;Sports and travel; 52 ; 10 ; 26 ; 545 ;16/02/2019;12:21:00;Cash;519,1;4,761904762;25,955;8,2
575-30-8091;A;Yangon;Normal;Male;Sports and travel; 73 ; 8 ; 29 ; 609 ;16/03/2019;19:25:00;Ewallet;580;4,761904762;29;9,2
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel; 90 ; 10 ; 45 ; 943 ;23/01/2019;13:00:00;Credit card;898;4,761904762;44,9;5,4
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty; 91 ; 10 ; 45 ; 950 ;25/01/2019;13:48:00;Cash;905;4,761904762;45,25;8,1
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty; 69 ; 10 ; 34 ; 720 ;02/05/2019;19:57:00;Cash;686;4,761904762;34,3;9,1
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages; 30 ; 1 ; 2 ; 32 ;22/02/2019;10:36:00;Credit card;30,41;4,761904762;1,5205;8,4
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle; 78 ; 6 ; 23 ; 491 ;21/01/2019;16:37:00;Ewallet;467,7;4,761904762;23,385;8
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty; 46 ; 6 ; 14 ; 291 ;03/08/2019;17:11:00;Credit card;277,56;4,761904762;13,878;9,5
685-64-1609;A;Yangon;Member;Female;Fashion accessories; 30 ; 10 ; 15 ; 316 ;02/10/2019;12:28:00;Ewallet;301,4;4,761904762;15,07;9,2
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty; 66 ; 4 ; 13 ; 278 ;19/03/2019;12:46:00;Credit card;264,56;4,761904762;13,228;5,6
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle; 72 ; 8 ; 29 ; 604 ;03/06/2019;15:07:00;Credit card;574,88;4,761904762;28,744;6,2
238-49-0436;A;Yangon;Normal;Male;Health and beauty; 32 ; 8 ; 13 ; 273 ;27/03/2019;13:48:00;Credit card;259,68;4,761904762;12,984;4,9
608-96-3517;B;Mandalay;Member;Female;Fashion accessories; 92 ; 4 ; 18 ; 384 ;23/03/2019;19:20:00;Credit card;366,16;4,761904762;18,308;4,8
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel; 35 ; 7 ; 12 ; 254 ;03/11/2019;16:07:00;Credit card;241,92;4,761904762;12,096;7,3
746-94-0204;A;Yangon;Normal;Male;Fashion accessories; 83 ; 9 ; 37 ; 787 ;29/01/2019;11:56:00;Credit card;749,16;4,761904762;37,458;7,4
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages; 16 ; 6 ; 5 ; 104 ;02/07/2019;18:23:00;Ewallet;98,88;4,761904762;4,944;9,9
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel; 81 ; 8 ; 32 ; 680 ;28/01/2019;13:05:00;Cash;647,76;4,761904762;32,388;9,3
782-95-9291;A;Yangon;Member;Male;Food and beverages; 92 ; 5 ; 23 ; 485 ;20/02/2019;15:55:00;Credit card;461,45;4,761904762;23,0725;9
279-74-2924;B;Mandalay;Member;Male;Electronic accessories; 72 ; 1 ; 4 ; 76 ;01/04/2019;19:40:00;Cash;72,17;4,761904762;3,6085;6,1
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle; 50 ; 5 ; 13 ; 264 ;03/07/2019;13:58:00;Ewallet;251,4;4,761904762;12,57;9,7
743-04-1105;B;Mandalay;Member;Male;Health and beauty; 97 ; 9 ; 44 ; 919 ;30/03/2019;14:43:00;Ewallet;874,98;4,761904762;43,749;6
423-57-2993;B;Mandalay;Normal;Male;Sports and travel; 93 ; 6 ; 28 ; 588 ;27/03/2019;19:18:00;Ewallet;560,34;4,761904762;28,017;10
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages; 43 ; 8 ; 17 ; 363 ;19/01/2019;19:39:00;Credit card;345,44;4,761904762;17,272;8,3
